source_part,sample_id,source_video,word_id,label,label_idx,real,actor_id,view,split,n_frames,valid_frames,valid_ratio,feature_dim,seq_len,layout,normalization,run_id
FILE04,NIA_SL_WORD0815_REAL02_D,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0815_REAL02_D.mp4,WORD0815,우유,6,FILE04,2,D,train,132,132,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0815_REAL02_F,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0815_REAL02_F.mp4,WORD0815,우유,6,FILE04,2,F,train,132,132,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0815_REAL02_L,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0815_REAL02_L.mp4,WORD0815,우유,6,FILE04,2,L,train,132,132,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0815_REAL02_R,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0815_REAL02_R.mp4,WORD0815,우유,6,FILE04,2,R,train,132,132,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0815_REAL02_U,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0815_REAL02_U.mp4,WORD0815,우유,6,FILE04,2,U,train,132,132,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0943_REAL02_D,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0943_REAL02_D.mp4,WORD0943,가다,0,FILE04,2,D,train,90,90,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0943_REAL02_F,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0943_REAL02_F.mp4,WORD0943,가다,0,FILE04,2,F,train,90,90,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0943_REAL02_L,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0943_REAL02_L.mp4,WORD0943,가다,0,FILE04,2,L,train,90,90,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0943_REAL02_R,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0943_REAL02_R.mp4,WORD0943,가다,0,FILE04,2,R,train,90,90,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0943_REAL02_U,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0943_REAL02_U.mp4,WORD0943,가다,0,FILE04,2,U,train,90,90,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0944_REAL02_D,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0944_REAL02_D.mp4,WORD0944,가다,0,FILE04,2,D,train,87,87,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0944_REAL02_F,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0944_REAL02_F.mp4,WORD0944,가다,0,FILE04,2,F,train,87,87,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0944_REAL02_L,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0944_REAL02_L.mp4,WORD0944,가다,0,FILE04,2,L,train,87,87,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0944_REAL02_R,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0944_REAL02_R.mp4,WORD0944,가다,0,FILE04,2,R,train,87,87,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0944_REAL02_U,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0944_REAL02_U.mp4,WORD0944,가다,0,FILE04,2,U,train,87,87,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0946_REAL02_D,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0946_REAL02_D.mp4,WORD0946,가다,0,FILE04,2,D,train,106,106,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0946_REAL02_F,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0946_REAL02_F.mp4,WORD0946,가다,0,FILE04,2,F,train,106,106,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0946_REAL02_L,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0946_REAL02_L.mp4,WORD0946,가다,0,FILE04,2,L,train,106,106,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0946_REAL02_R,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0946_REAL02_R.mp4,WORD0946,가다,0,FILE04,2,R,train,106,106,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0946_REAL02_U,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0946_REAL02_U.mp4,WORD0946,가다,0,FILE04,2,U,train,106,106,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0953_REAL02_D,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0953_REAL02_D.mp4,WORD0953,배고프다,3,FILE04,2,D,val,93,93,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0953_REAL02_F,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0953_REAL02_F.mp4,WORD0953,배고프다,3,FILE04,2,F,val,93,93,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0953_REAL02_L,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0953_REAL02_L.mp4,WORD0953,배고프다,3,FILE04,2,L,val,93,93,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0953_REAL02_R,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0953_REAL02_R.mp4,WORD0953,배고프다,3,FILE04,2,R,val,93,93,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD0953_REAL02_U,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD0953_REAL02_U.mp4,WORD0953,배고프다,3,FILE04,2,U,val,93,93,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD1152_REAL02_D,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD1152_REAL02_D.mp4,WORD1152,아프다,5,FILE04,2,D,train,109,109,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD1152_REAL02_F,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD1152_REAL02_F.mp4,WORD1152,아프다,5,FILE04,2,F,train,109,109,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD1152_REAL02_L,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD1152_REAL02_L.mp4,WORD1152,아프다,5,FILE04,2,L,train,109,109,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD1152_REAL02_R,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD1152_REAL02_R.mp4,WORD1152,아프다,5,FILE04,2,R,train,109,109,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD1152_REAL02_U,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD1152_REAL02_U.mp4,WORD1152,아프다,5,FILE04,2,U,train,109,109,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
FILE04,NIA_SL_WORD1197_REAL02_D,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\FILE04\NIA_SL_WORD1197_REAL02_D.mp4,WORD1197,배고프다,3,FILE04,2,D,train,106,106,1,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,FILE04
