sample_id,word_id,label,video_path,split,source_part,error
NIA_SL_WORD0432_REAL04_U,WORD0432,모범,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0432_REAL04_U.mp4,validation,FILE08,영상 처리 실패 (프레임 없음)
NIA_SL_WORD0478_REAL04_D,WORD0478,면적,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0478_REAL04_D.mp4,train,FILE08,영상 처리 실패 (프레임 없음)
NIA_SL_WORD0514_REAL04_F,WORD0514,사라지다,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0514_REAL04_F.mp4,train,FILE08,영상 처리 실패 (프레임 없음)
NIA_SL_WORD0588_REAL04_R,WORD0588,호명,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0588_REAL04_R.mp4,train,FILE08,영상 처리 실패 (프레임 없음)
NIA_SL_WORD1109_REAL04_F,WORD1109,한명,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD1109_REAL04_F.mp4,train,FILE08,영상 처리 실패 (프레임 없음)
NIA_SL_WORD1128_REAL04_L,WORD1128,당황,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD1128_REAL04_L.mp4,train,FILE08,영상 처리 실패 (프레임 없음)
NIA_SL_WORD1130_REAL04_D,WORD1130,원하다,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD1130_REAL04_D.mp4,train,FILE08,영상 처리 실패 (프레임 없음)
NIA_SL_WORD1140_REAL04_R,WORD1140,즐겁다,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD1140_REAL04_R.mp4,train,FILE08,영상 처리 실패 (프레임 없음)
NIA_SL_WORD1974_REAL04_D,WORD1974,영주시지부,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]07_real_word_video\04\NIA_SL_WORD1974_REAL04_D.mp4,train,FILE07,영상 처리 실패 (프레임 없음)
NIA_SL_WORD2041_REAL04_R,WORD2041,책임자,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]07_real_word_video\04\NIA_SL_WORD2041_REAL04_R.mp4,train,FILE07,영상 처리 실패 (프레임 없음)
