순위,모델,dropout,hidden_size,내부_val_acc,외부_val_acc,파라미터
1,cnn_1d,0.5,64,0.9968,0.9667,60552
2,cnn_1d,0.3,64,0.9974,0.9333,60552
3,cnn_1d,0.3,128,0.9981,0.9333,145096
4,cnn_1d,0.5,128,0.9962,0.9333,145096
5,cnn_gru,0.5,64,0.9846,0.9,5638600
6,lstm,0.3,64,0.9936,0.9,257096
7,lstm,0.3,128,0.9936,0.9,775752
8,lstm,0.5,128,0.9949,0.9,775752
9,gru,0.3,64,0.9955,0.9,195016
10,gru,0.5,64,0.9968,0.8667,195016
11,gru,0.5,128,0.9942,0.8667,586056
12,gru,0.3,128,0.9942,0.8333,586056
13,cnn_gru,0.3,64,0.9955,0.8,5638600
14,cnn_gru,0.5,128,0.9962,0.8,11472840
15,lstm,0.5,64,0.9917,0.8,257096
16,cnn_gru,0.3,128,0.9949,0.7333,11472840
