source_part,sample_id,source_video,word_id,label,label_idx,real,actor_id,view,split,n_frames,valid_frames,valid_ratio,feature_dim,seq_len,layout,normalization,run_id
REAL02-1,NIA_SL_WORD0001_REAL02_D,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\REAL04\NIA_SL_WORD0001_REAL02_D.mp4,WORD0001,가다,0,REAL04,02,D,train,185,185,1.000000,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,REAL04
REAL02-1,NIA_SL_WORD0001_REAL02_F,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\REAL04\NIA_SL_WORD0001_REAL02_F.mp4,WORD0001,가다,0,REAL04,02,F,train,185,185,1.000000,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,REAL04
REAL02-1,NIA_SL_WORD0001_REAL02_L,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\REAL04\NIA_SL_WORD0001_REAL02_L.mp4,WORD0001,가다,0,REAL04,02,L,train,185,185,1.000000,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,REAL04
REAL02-1,NIA_SL_WORD0001_REAL02_R,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\REAL04\NIA_SL_WORD0001_REAL02_R.mp4,WORD0001,가다,0,REAL04,02,R,train,185,185,1.000000,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,REAL04
REAL02-1,NIA_SL_WORD0001_REAL02_U,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\REAL04\NIA_SL_WORD0001_REAL02_U.mp4,WORD0001,가다,0,REAL04,02,U,train,185,185,1.000000,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,REAL04
REAL02-1,NIA_SL_WORD0002_REAL02_D,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\REAL04\NIA_SL_WORD0002_REAL02_D.mp4,WORD0002,감사,1,REAL04,02,D,train,172,172,1.000000,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,REAL04
REAL02-1,NIA_SL_WORD0002_REAL02_F,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\REAL04\NIA_SL_WORD0002_REAL02_F.mp4,WORD0002,감사,1,REAL04,02,F,train,172,172,1.000000,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,REAL04
REAL02-1,NIA_SL_WORD0002_REAL02_L,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\REAL04\NIA_SL_WORD0002_REAL02_L.mp4,WORD0002,감사,1,REAL04,02,L,train,172,172,1.000000,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,REAL04
REAL02-1,NIA_SL_WORD0002_REAL02_R,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\REAL04\NIA_SL_WORD0002_REAL02_R.mp4,WORD0002,감사,1,REAL04,02,R,train,172,172,1.000000,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,REAL04
REAL02-1,NIA_SL_WORD0002_REAL02_U,C:\Users\82102_asozp43\OneDrive\바탕 화면\REAL_PIPELINE_CMD_CLEAN_V3\data\shards\REAL04\NIA_SL_WORD0002_REAL02_U.mp4,WORD0002,감사,1,REAL04,02,U,train,172,172,1.000000,225,32,mediapipe_xyz,shoulder-center + shoulder-width scale,REAL04
